name,weight
short16 bitsint32 bitslong64 bitsfloat32 bits ieee 754-1985double64 bits ieee 754-1985java int types,120.6530825
java basicsthis page intentionally left blank© 1996-2003 jguru,51.31715839
•comments•declarations•expressions•statements•garbage collection•java semanticsportabilityjava programs,48.03425325
automatically invoke predefined lifecyclemethodsthe predefined methods automatically invoked,45.575
public class applettemplate extends applet {public void init,39.28074438
public class paramtest extends applet {public void init,39.28074438
public class trivialapplet extends applet {public void paint,36.78074438
garbage collectionan automatic garbage collector deallocates memory,35.3982684
java program executionthe java byte-code compiler translates,34.30032468
•java basics -2no pointer arithmetic© 1996-2003 jguru,32.99308431
pointer arithmetic•garbage collection•array bounds checking•,32.15151515
blah blah blah */class blah {/**,31.83333333
automatic garbage collection reduces programming effort,31.15151515
java basics -9java basics// java codevoid foo,30.31580688
java basics -11java basicselement typeelement 0element 1,29.57473545
java basics -21java basicsjava basics -22© 1996-2003 jguru,28.993415
class data implements cloneable {public int data = 0,28.23180483
primitive typesprimitive typedescriptionbooleantrue/falsebyte8 bitschar16 bits,27.25
thisthe current objectsuperthe superclass view,25
class definition requires exception handling code,23.91518354
class loader searches thedirectories listed,23.35483871
java basicspublic class trivialapplication {// args[0],21.58234425
youmust specifically instantiate java objects,20.54107143
generic array object# elements© 1996-2003 jguru,20.25255754
initialize applet}public void start,19.72853725
applet drawing area needsthis method,19.52417582
html/applet interfacethe html applet tag,19.23571429
heap */java basics -12© 1996-2003 jguru,19.21867955
operator bindjava basics -16© 1996-2003 jguru,19.08534622
package definition togroup related classes,19.08333333
vector objectprimitive typesthe java language,18.91964286
suffixhexadecimal constant0x123octal constant077nullthe null object,18.67647059
java basics -7java basics}}system,18.66732804
java basics -19java basics}data,18.06316138
features make java string programs portable,17.95954969
illegal data conversions•browser level,17.57765152
java basicsexpressionsmost java expressions,17.48214286
labels refer tothe specific loop,17.16666667
java basics•garbage collection--,16.90184584
error-pronejava basics -20© 1996-2003 jguru,16.41867955
20java basics -6© 1996-2003 jguru,16.41867955
descriptionjava basics -15java basicsidi,16.08366402
java basics -10© 1996-2003 jguru,15.90975098
java basics -14© 1996-2003 jguru,15.90975098
java basics -4© 1996-2003 jguru,15.90975098
}}java basics -8© 1996-2003 jguru,15.90975098
objectgeneral expressionsitem© 1996-2003 jguru,15.82608696
command java trivialapplication tells,15.82440476
java basics -3java basicsruntime,15.57473545
java basics -1java basicsare,15.57473545
java basics -5java basicsthreads,15.57473545
java basics -17java basicssemantics,15.57473545
java basics -13java basicssettitle,15.57473545
public static void main,15.40948963
automatic garbage collection,15.15151515
/* c-style block comments */,15.1
www programmingthe major differences,15
avoid crashesduring program execution,14.81818182
nonportable representation ofyour program,14.81818182
java basicsdeclarationsa java variable,14.48214286
secondpublic static void main,14.46212121
potential memory leakage problemsbecause,14.42857143
equivalent tothe const keyword,14.4
class data {public int data = 0,14.23180483
creates scoped symbol startingclassname,14
native methodsrobustnessthe java language,13.91964286
// java code// internally,13.56083887
java basicsstringsjava string literals,13.53454969
burden system resources unnecessarily,13.5
}public void paint,13.49282297
